Czas;Kierunek;Rejs;;Lotnisko wylotowe
15:15;BUKARESZT BANEASA (BBU);W6 2057;;"KRK"
15:30;MEDIOLAN MALPENSA (MXP);FR 4462;;"KRK"
15:40;PODGORICA (TGD);FR 7933;;"KRK"
15:55;BRUKSELA CHARLEROI (CRL);FR 4935;;"KRK"
16:00;LIZBONA (LIS);FR 4023;;"KRK"
16:00;ANKONA (AOI);FR 4490;;"KRK"
16:10;NEAPOL (NAP);FR 4046;;"KRK"
16:40;MONACHIUM (MUC);EN 8343;;"KRK"
16:40;RYGA (RIX);FR 5428;;"KRK"
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:10;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
17:30;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
17:40;DUBLIN (DUB);FR 2024;;"KRK"
17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:25;NEWCASTLE (NCL);FR 451;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:40;LONDYN STANSTED (STN);FR 2433;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:50;RZYM CIAMPINO (CIA);FR 083;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
18:55;LYON (LYS);W6 2091;;"KRK"
19:10;MANCHESTER (MAN);EZY 9264;;"KRK"
19:10;PAFOS (PFO);FR 5087;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:30;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
19:40;BOLONIA (BLQ);FR 5438;;"KRK"
19:45;LONDYN STANSTED (STN);FR 2363;;"KRK"
19:50;GDAŃSK (GDN);FR 237;;"KRK"
20:05;LAMEZIA TERME (SUF);FR 5145;;"KRK"
20:10;SALONIKI (SKG);FR 2777;;"KRK"
21:30;TRIEST (TRS);FR 6782;;"KRK"
21:40;PIZA (PSA);FR 7940;;"KRK"
22:00;PESCARA (PSR);FR 3045;;"KRK"
23:10;MANCHESTER (MAN);RK 2142;;"KRK"
23:15;LONDYN LUTON (LTN);FR 2350;;"KRK"
23:50;DUBAJ (DXB);FZ 1786;;"KRK"
05:05;PERUGIA (PEG);FR 2380;;"KRK"
05:30;BARCELONA (BCN);W6 2047;;"KRK"
05:30;LARNAKA  (LCA);W6 2051;;"KRK"
05:40;WARSZAWA (WAW);LO 3910;;"KRK"
05:40;TEL AVIV (TLV);W6 2097;;"KRK"
05:45;PIZA (PSA);FR 7932;;"KRK"
06:00;BARCELONA (BCN);FR 3036;;"KRK"
06:00;MONACHIUM (MUC);LH 1627;;"KRK"
06:00;LONDYN LUTON (LTN);W6 2001;;"KRK"
06:10;FRANKFURT (FRA);LH 1371;;"KRK"
06:25;EINDHOVEN (EIN);FR 042;;"KRK"
06:25;BOLONIA (BLQ);FR 5438;;"KRK"
06:25;OSLO TORP (TRF);FR 6216;;"KRK"
06:35;LONDYN STANSTED (STN);FR 2435;;"KRK"
06:35;AMSTERDAM (AMS);KL 1322;;"KRK"
06:45;WIEDEŃ (VIE);OS 600;;"KRK"
06:55;ATENY (ATH);FR 2611;;"KRK"
07:00;STAMBUŁ (IST);LO 139;;"KRK"
07:15;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
07:35;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
07:35;ZADAR (ZAD);FR 7279;;"KRK"
08:05;SZCZECIN (SZZ);FR 6230;;"KRK"
08:30;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
08:50;WARSZAWA (WAW);LO 3904;;"KRK"
08:55;HELSINKI (HEL);AY 1162;;"KRK"
08:55;MEDIOLAN BERGAMO (BGY);FR 3505;;"KRK"
09:35;EAST MIDLANDS (EMA);FR 1725;;"KRK"
09:40;DUSSELDORF (DUS);EW 9733;;"KRK"
09:45;PARYŻ (CDG);EJU 4668;;"KRK"
09:55;BRISTOL (BRS);FR 5519;;"KRK"
10:00;BERGEN (BGO);DY 1029;;"KRK"
10:05;STAVANGER (SVG);DY 1037;;"KRK"
10:10;BRUKSELA CHARLEROI (CRL);FR 5533;;"KRK"
10:20;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
10:20;BURGAS (BOJ);FR 3716;;"KRK"
10:30;WENECJA TREVISO (TSF);FR 3037;;"KRK"
10:50;EDYNBURG (EDI);EZY 3314;;"KRK"
10:50;BIRMINGHAM (BHX);FR 1466;;"KRK"
10:55;SZTOKHOLM ARLANDA (ARN);D8 4582;;"KRK"
11:00;MEMMINGEN (FMM);FR 2174;;"KRK"
11:00;OSLO TORP (TRF);FR 6310;;"KRK"
11:10;RODOS (RHO);FR 7040;;"KRK"
11:15;FRANKFURT (FRA);LH 1363;;"KRK"
11:25;ZADAR (ZAD);FR 7273;;"KRK"
11:40;NEWCASTLE (NCL);FR 451;;"KRK"
11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
11:55;TURYN (TRN);FR 5906;;"KRK"
12:00;PARYŻ (CDG);AF 1879;;"KRK"
12:00;CHANIA (CHQ);FR 3051;;"KRK"
12:05;PODGORICA (TGD);FR 7933;;"KRK"
12:05;CHICAGO (ORD);LO 009;;"KRK"
12:15;WARSZAWA (WAW);LO 3908;;"KRK"
12:20;BRUKSELA (BRU);SN 2548;;"KRK"
12:25;BOLONIA (BLQ);FR 3799;;"KRK"
12:30;HELSINKI (HEL);AY 1166;;"KRK"
12:45;SALONIKI (SKG);FR 7226;;"KRK"
12:50;DUBAJ (DXB);FZ 1788;;"KRK"
12:50;EINDHOVEN (EIN);W6 2075;;"KRK"
13:05;RZYM CIAMPINO (CIA);FR 083;;"KRK"
13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
13:10;DUBROWNIK (DBV);FR 5917;;"KRK"
13:25;LONDYN HEATHROW (LHR);BA 873;;"KRK"
13:25;MONACHIUM (MUC);LH 1623;;"KRK"
13:30;WARSZAWA (WAW);LO 3920;;"KRK"
13:35;BELFAST (BFS);RK 9557;;"KRK"
13:45;SHARJAH (SHJ);G9 731;;"KRK"
14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
14:05;FRANKFURT (FRA);LH 1367;;"KRK"
14:15;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
14:25;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
14:35;TIRANA (TIA);FR 8402;;"KRK"
14:35;WIEDEŃ (VIE);OS 598;;"KRK"
14:40;ZURYCH (ZRH);LX 1373;;"KRK"
14:55;WARSZAWA (WAW);LO 3906;;"KRK"
15:00;PARYŻ BEAUVAIS (BVA);FR 3699;;"KRK"
15:15;ANKONA (AOI);FR 4490;;"KRK"
15:15;PALMA DE MALLORCA (PMI);FR 4512;;"KRK"
15:35;MALAGA (AGP);W6 2073;;"KRK"
15:40;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
16:25;MADRYT (MAD);FR 5357;;"KRK"
16:35;KOPENHAGA (CPH);FR 2724;;"KRK"
16:40;MONACHIUM (MUC);EN 8343;;"KRK"
16:50;LIVERPOOL (LPL);FR 6359;;"KRK"
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:20;WALENCJA (VLC);FR 2229;;"KRK"
17:30;LONDYN STANSTED (STN);FR 2363;;"KRK"
17:35;LOURDES (LDE);FR 2370;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:10;AMSTERDAM (AMS);KL 1328;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:40;KORFU (CFU);FR 6964;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:50;ANTALIA (AYT);PC 1503;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
19:00;AMSTERDAM (AMS);KL 1330;;"KRK"
19:15;LONDYN STANSTED (STN);FR 2433;;"KRK"
19:20;BOURNEMOUTH (BOH);FR 5524;;"KRK"
19:20;MALTA (MLA);FR 7115;;"KRK"
19:20;PIZA (PSA);FR 7940;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:25;BOLONIA (BLQ);W6 2059;;"KRK"
19:30;RZYM CIAMPINO (CIA);FR 1469;;"KRK"
19:55;ZURYCH (ZRH);LX 1375;;"KRK"
20:05;LONDYN LUTON (LTN);FR 1812;;"KRK"
20:05;MEDIOLAN BERGAMO (BGY);FR 3536;;"KRK"
20:15;BARI (BRI);FR 2722;;"KRK"
20:15;STAMBUŁ (IST);TK 1274;;"KRK"
20:30;PARYŻ (CDG);EJU 4670;;"KRK"
20:30;BELGRAD (BEG);JU 159;;"KRK"
20:35;MANCHESTER (MAN);LS 950;;"KRK"
20:40;SALONIKI (SKG);FR 2777;;"KRK"
21:00;EAST MIDLANDS (EMA);LS 3012;;"KRK"
21:15;MANCHESTER (MAN);RK 2142;;"KRK"
21:20;TRONDHEIM (TRD);DY 1039;;"KRK"
21:20;WIEDEŃ (VIE);FR 946;;"KRK"
21:45;LONDYN GATWICK (LGW);EZY 8824;;"KRK"
21:50;OSLO GARDERMOEN (OSL);DY 1043;;"KRK"
22:10;SZTOKHOLM ARLANDA (ARN);FR 4636;;"KRK"
22:40;KOPENHAGA (CPH);D8 3565;;"KRK"
22:40;DUBLIN (DUB);FR 1902;;"KRK"
