Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
22:10;EDYNBURG; ;RK1158;;"WRO"
22:35;BOLONIA;RYR;FR4318;;"WRO"
23:35;LONDYN (STN);RYR;FR8408;;"WRO"
05:00;ANTALYA;ENT;ENT4765;;"WRO"
05:35;WARSZAWA;LOT;LO3850;;"WRO"
05:45;MALAGA;RYR;FR2582;;"WRO"
05:50;MARSYLIA;RYR;FR2743;;"WRO"
05:50;BRUKSELA (CRL);RYR;FR8373;;"WRO"
06:00;AMSTERDAM;KLM;KL1336;;"WRO"
06:00;MONACHIUM;DLH;LH1635;;"WRO"
06:00;BARCELONA EL PRAT;WZZ;W61811;;"WRO"
06:10;PARYŻ (BVA);RYR;FR2068;;"WRO"
06:40;FRANKFURT;DLA;EN8769;;"WRO"
08:10;OSLO TORP;RYR;FR2110;;"WRO"
08:35;MEDIOLAN (BGY);RYR;FR9195;;"WRO"
08:45;WARSZAWA;LOT;LO3852;;"WRO"
09:20;MALTA;RYR;FR3463;;"WRO"
10:05;WENECJA TREVISO;RYR;FR1880;;"WRO"
10:45;FRANKFURT;DLA;EN8767;;"WRO"
10:55;NEAPOL;RYR;FR5481;;"WRO"
11:05;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
11:55;LONDYN (STN);RYR;FR8406;;"WRO"
12:10;WARSZAWA;LOT;LO3854;;"WRO"
13:05;BARCELONA GIRONA;RYR;FR9173;;"WRO"
13:15;MONACHIUM;DLH;LH1631;;"WRO"
13:25;BARI;WZZ;W61859;;"WRO"
13:35;WENECJA TREVISO;RYR;FR1800;;"WRO"
14:00;AMSTERDAM;KLM;KL1338;;"WRO"
14:15;ATENY;RYR;FR4937;;"WRO"
14:50;FRANKFURT;DLA;EN8765;;"WRO"
14:50;WARSZAWA;LOT;LO3844;;"WRO"
14:55;LIZBONA;RYR;FR9981;;"WRO"
15:45;GLASGOW;RYR;FR7673;;"WRO"
15:55;DUBLIN;RYR;FR99;;"WRO"
16:00;PALERMO;RYR;FR2026;;"WRO"
16:55;MONACHIUM;DLH;LH1633;;"WRO"
17:40;CHANIA;RYR;FR8938;;"WRO"
18:00;RZYM (CIA);RYR;FR2113;;"WRO"
18:15;EAST MIDLANDS;RYR;FR917;;"WRO"
18:15;WARSZAWA;LOT;LO3848;;"WRO"
18:35;LONDYN (LTN);WZZ;W61801;;"WRO"
19:20;SHANNON;RYR;FR1173;;"WRO"
19:30;KOPENHAGA;SAS;SK766;;"WRO"
20:00;PALMA DE MALLORCA;RYR;FR8031;;"WRO"
20:05;ZURYCH;SWR;LX1377;;"WRO"
20:20;BOLONIA;RYR;FR4318;;"WRO"
21:15;AGADIR;RYR;FR8177;;"WRO"
21:30;WARSZAWA;LOT;LO3860;;"WRO"
05:05;HURGHADA;ENT;ENT7645;;"WRO"
05:35;WARSZAWA;LOT;LO3850;;"WRO"
05:45;ATENY;RYR;FR4937;;"WRO"
05:50;EDYNBURG;RYR;FR1158;;"WRO"
05:50;SHANNON;RYR;FR1173;;"WRO"
06:00;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
06:00;AMSTERDAM;KLM;KL1336;;"WRO"
06:00;MONACHIUM;DLH;LH1635;;"WRO"
06:00;KUTAISI;WZZ;W61893;;"WRO"
06:10;LEEDS;RYR;FR4108;;"WRO"
06:20;FRANKFURT;DLA;EN8769;;"WRO"
08:05;BOLONIA;RYR;FR4318;;"WRO"
08:45;WARSZAWA;LOT;LO3852;;"WRO"
08:50;PAFOS;RYR;FR9265;;"WRO"
09:20;PALMA DE MALLORCA;RYR;FR8031;;"WRO"
09:30;LONDYN (STN);RYR;FR8408;;"WRO"
09:50;BRISTOL;RYR;FR8213;;"WRO"
10:05;BOURNEMOUTH;RYR;FR3318;;"WRO"
10:15;PALERMO;RYR;FR2026;;"WRO"
11:00;FRANKFURT;DLA;EN8767;;"WRO"
11:10;GDAŃSK;RYR;FR4105;;"WRO"
12:05;OSLO TORP;RYR;FR2110;;"WRO"
12:10;WARSZAWA;LOT;LO3854;;"WRO"
12:25;ZADAR;RYR;FR8460;;"WRO"
12:35;LIVERPOOL;RYR;FR9649;;"WRO"
13:05;ALICANTE;RYR;FR9882;;"WRO"
13:15;MONACHIUM;DLH;LH1631;;"WRO"
13:30;RZYM (CIA);RYR;FR2113;;"WRO"
14:00;AMSTERDAM;KLM;KL1338;;"WRO"
14:45;FRANKFURT;DLA;EN8765;;"WRO"
14:50;WARSZAWA;LOT;LO3844;;"WRO"
15:05;HURGHADA;ENT;ENT4051;;"WRO"
15:05;EINDHOVEN;WZZ;W61825;;"WRO"
15:15;PIZA;RYR;FR771;;"WRO"
15:20;TENERYFA;ENT;ENT7019;;"WRO"
15:25;EAST MIDLANDS;RYR;FR917;;"WRO"
15:40;DUBROWNIK;RYR;FR5965;;"WRO"
16:25;MALTA;RYR;FR3463;;"WRO"
16:30;WENECJA TREVISO;RYR;FR1880;;"WRO"
16:35;BARCELONA GIRONA;RYR;FR9173;;"WRO"
16:50;MALAGA;RYR;FR2582;;"WRO"
16:55;MONACHIUM;DLH;LH1633;;"WRO"
18:05;LONDYN (STN);RYR;FR8406;;"WRO"
18:15;WARSZAWA;LOT;LO3848;;"WRO"
19:25;LONDYN (LTN);WZZ;W61801;;"WRO"
19:30;KOPENHAGA;SAS;SK766;;"WRO"
20:00;KORFU;RYR;FR6070;;"WRO"
20:15;DUBLIN;RYR;FR99;;"WRO"
20:35;HURGHADA; ;SM3028;;"WRO"
20:40;PARYŻ (BVA);RYR;FR2068;;"WRO"
21:30;WARSZAWA;LOT;LO3860;;"WRO"
