Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
09:55;Bristol;RYANAIR;FR 8255;;"GDN"
10:05;Haugesund;WIZZ AIR;W6 1749;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
10:15;Podgorica;RYANAIR;FR 1936;;"GDN"
10:35;Wrocław;RYANAIR;FR 4106;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
12:15;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
12:15;Edynburg;RYANAIR;FR 6123;;"GDN"
12:50;Piza;RYANAIR;FR 4442;;"GDN"
13:00;Teneryfa południe;WIZZ AIR;W6 1709;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:30;Newcastle;RYANAIR;FR 6103;;"GDN"
14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
14:50;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:00;Bratysława;RYANAIR;FR 6827;;"GDN"
15:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
15:55;Växjö-smaland;RYANAIR;FR 7271;;"GDN"
16:05;Korfu;RYANAIR;FR 7574;;"GDN"
16:30;Turku;WIZZ AIR;W6 1751;;"GDN"
17:05;Tromso;WIZZ AIR;W6 1771;;"GDN"
17:15;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
18:50;Londyn stansted;RYANAIR;FR 532;;"GDN"
18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
19:15;Malaga;RYANAIR;FR 9918;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
19:55;Oslo torp;RYANAIR;FR 3277;;"GDN"
20:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
22:15;Kraków;RYANAIR;FR 236;;"GDN"
22:15;Goteborg;RYANAIR;FR 6095;;"GDN"
23:25;Manchester;;RK 4095;;"GDN"
23:35;Sztokholm arlanda;RYANAIR;FR 6099;;"GDN"
