Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
09:30;ALICANTE;RYANAIR;FR4163;;"RZE"
12:00;WARSZAWA;PLL LOT;LO3810;;"RZE"
12:05;MEDIOLAN;RYANAIR;FR1102;;"RZE"
13:05;MONACHIUM;LUFTHANSA;LH1605;;"RZE"
13:20;BRISTOL;RYANAIR;FR8225;;"RZE"
15:00;WARSZAWA;PLL LOT;LO3802;;"RZE"
16:45;WARSZAWA;PLL LOT;LO3808;;"RZE"
19:25;LONDYN (Stansted);RYANAIR;FR2135;;"RZE"
19:25;RZYM;WIZZ AIR;W46068;;"RZE"
23:05;SHARM EL SHEIKH;SKYUP;U57553;;"RZE"
